years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
3,74.2,Bachelors,4,412,247,No
5,71.5,Bachelors,8,494,185,No
7,65.7,Bachelors,10,580,289,Yes
10,81.0,Bachelors,12,729,403,Yes
12,87.7,Masters,12,597,396,Yes
7,71.5,Masters,11,334,288,Yes
15,89.2,Bachelors,11,695,518,Yes
14,53.2,Bachelors,24,761,683,Yes
4,83.3,Masters,6,559,139,Yes
4,73.7,Bachelors,6,647,213,No
5,90.0,Bachelors,8,656,250,Yes
9,63.3,Bachelors,15,667,456,Yes
6,78.1,Bachelors,16,534,317,Yes
12,52.9,Bachelors,14,730,423,Yes
12,58.8,Masters,12,791,427,Yes
9,71.9,Bachelors,8,645,264,Yes
13,78.6,Masters,13,651,478,Yes
6,85.2,Bachelors,12,649,310,Yes
12,100.0,Masters,12,790,445,Yes
3,82.8,Bachelors,6,569,162,Yes
5,80.2,Masters,10,667,262,Yes
6,79.1,Bachelors,11,521,285,Yes
4,46.3,Bachelors,12,304,386,Yes
4,90.2,Masters,9,267,259,Yes
1,78.3,Bachelors,5,410,30,No
6,52.6,Masters,5,687,64,No
11,94.0,PhD,14,625,414,Yes
5,59.3,Bachelors,8,667,241,No
10,100.0,Bachelors,14,453,449,Yes
0,42.9,Bachelors,3,184,12,No
3,68.6,Masters,17,150,321,No
2,64.3,Bachelors,8,318,204,Yes
11,82.4,Masters,14,666,465,Yes
14,100.0,Masters,19,693,741,Yes
2,86.9,Bachelors,8,370,152,No
6,48.7,Masters,13,573,309,Yes
10,84.8,Bachelors,11,774,398,Yes
11,79.3,Bachelors,13,633,360,Yes
9,91.8,Masters,13,810,403,Yes
3,66.7,Bachelors,6,324,231,Yes
14,73.3,Bachelors,15,707,491,Yes
11,67.7,Masters,20,827,607,Yes
7,69.2,Masters,11,306,363,Yes
15,85.7,Bachelors,14,837,564,Yes
10,84.2,Masters,12,486,287,Yes
15,78.9,Bachelors,12,689,567,Yes
8,100.0,Masters,12,438,239,Yes
2,73.3,Masters,6,285,49,No
15,100.0,Bachelors,13,719,576,Yes
4,63.4,Bachelors,8,426,189,No
3,51.7,Masters,5,414,150,No
13,100.0,Masters,16,763,639,Yes
11,64.6,Bachelors,10,610,416,Yes
15,57.2,Bachelors,18,843,521,Yes
9,84.0,Bachelors,10,674,425,Yes
14,74.2,Bachelors,13,809,395,Yes
5,66.2,Masters,8,507,141,Yes
10,83.4,High School,11,673,400,Yes
9,65.3,Masters,11,563,395,Yes
3,47.0,PhD,8,405,142,No
7,97.3,PhD,11,682,311,Yes
2,60.6,Bachelors,6,400,206,No
10,100.0,Masters,9,600,256,Yes
4,82.4,PhD,11,350,157,Yes
12,86.8,High School,11,810,279,Yes
15,90.0,Bachelors,21,887,719,Yes
15,97.4,PhD,19,865,552,Yes
0,74.5,Bachelors,3,225,28,No
12,100.0,PhD,12,752,511,Yes
14,76.7,Bachelors,11,740,416,Yes
5,70.4,High School,6,557,246,No
10,68.2,Bachelors,12,768,316,Yes
4,60.8,Bachelors,6,272,155,No
7,80.0,Bachelors,12,537,393,Yes
8,64.0,Bachelors,11,703,276,Yes
7,73.7,Bachelors,7,900,350,No
15,93.2,Bachelors,17,732,545,Yes
7,61.9,High School,9,432,299,Yes
11,94.0,Masters,16,445,518,Yes
13,76.9,Bachelors,18,900,589,Yes
12,99.4,Masters,20,731,489,Yes
2,67.2,Masters,6,252,100,No
3,66.1,Bachelors,9,533,271,No
15,69.5,High School,19,656,669,Yes
14,89.5,PhD,18,835,611,Yes
10,84.2,Masters,12,584,419,Yes
3,78.9,Bachelors,7,465,140,Yes
14,84.4,Masters,23,850,643,Yes
14,96.3,High School,10,832,420,Yes
13,67.7,High School,14,535,377,Yes
10,82.5,Bachelors,16,768,519,Yes
4,53.4,High School,5,361,214,No
12,100.0,PhD,11,572,308,Yes
8,97.7,Masters,8,462,321,Yes
11,87.5,Masters,14,485,442,Yes
8,61.0,High School,9,870,197,Yes
9,52.7,Bachelors,8,561,260,Yes
12,87.2,Bachelors,10,534,375,Yes
11,82.6,Bachelors,17,808,544,Yes
13,96.4,Bachelors,18,608,577,Yes
0,39.3,Masters,5,316,0,No
13,85.6,Bachelors,11,827,438,Yes
13,97.4,PhD,10,694,371,Yes
7,65.5,PhD,16,613,350,Yes
15,93.0,Masters,17,761,497,Yes
13,76.3,Masters,7,667,308,Yes
0,45.1,Bachelors,2,355,95,No
15,79.5,Bachelors,22,737,621,Yes
1,63.0,PhD,6,440,38,No
6,91.8,Masters,8,469,363,Yes
14,80.7,Bachelors,11,625,378,Yes
7,62.6,Masters,6,704,270,Yes
0,77.2,PhD,7,408,251,Yes
14,100.0,Bachelors,14,646,472,Yes
2,73.8,Bachelors,6,255,0,No
6,97.5,PhD,12,572,280,Yes
12,84.4,Bachelors,12,723,459,Yes
8,75.8,Bachelors,9,671,318,Yes
7,60.9,Bachelors,10,230,334,No
7,96.2,Masters,13,532,366,Yes
14,87.9,Masters,15,900,463,Yes
8,68.9,Bachelors,11,398,441,Yes
9,65.1,High School,10,457,329,Yes
2,71.0,Bachelors,4,514,168,No
7,72.8,Bachelors,13,717,349,Yes
0,60.3,Bachelors,5,347,133,No
15,82.6,Bachelors,14,868,431,Yes
7,64.0,High School,11,478,188,No
12,86.8,PhD,18,745,527,Yes
6,86.3,High School,8,622,322,Yes
12,54.5,Bachelors,17,574,552,Yes
14,92.2,Bachelors,19,584,610,Yes
7,91.6,Masters,8,489,184,Yes
0,25.4,High School,3,430,116,No
5,66.4,Bachelors,3,591,68,No
6,88.0,Masters,12,348,274,Yes
13,79.7,PhD,16,900,427,Yes
10,85.3,Masters,15,755,487,Yes
4,47.0,High School,9,474,206,No
13,79.5,High School,16,597,453,Yes
4,88.4,Masters,6,545,167,No
6,94.9,Bachelors,6,408,191,Yes
14,89.3,Bachelors,17,697,587,Yes
10,65.8,PhD,14,605,364,Yes
14,84.6,Masters,13,750,462,Yes
15,64.1,Masters,12,872,395,Yes
2,60.8,Masters,7,376,63,Yes
5,85.7,Masters,7,547,340,Yes
6,52.8,Masters,10,308,289,No
0,54.4,Bachelors,9,504,175,No
11,74.8,PhD,21,836,474,Yes
1,86.4,Bachelors,4,433,117,No
15,97.2,Masters,20,850,506,Yes
11,92.3,Bachelors,12,663,471,Yes
3,67.9,Bachelors,4,477,231,No
12,96.7,Masters,17,629,511,Yes
15,100.0,Bachelors,16,779,547,Yes
7,75.8,Masters,11,577,296,Yes
10,73.3,Masters,6,454,192,Yes
12,67.5,Bachelors,11,883,441,Yes
13,100.0,Bachelors,10,767,368,Yes
9,87.8,Bachelors,11,700,384,Yes
5,37.9,Masters,9,493,343,No
0,53.8,Bachelors,4,419,80,No
9,81.7,Bachelors,13,447,476,Yes
4,90.6,Bachelors,9,612,363,Yes
6,56.7,Masters,10,330,270,Yes
14,95.6,Masters,12,689,347,Yes
12,75.5,Bachelors,14,820,608,Yes
5,53.3,Masters,16,696,362,Yes
12,100.0,Masters,13,900,426,Yes
12,70.8,Masters,15,827,502,Yes
11,94.1,Bachelors,13,724,489,Yes
8,53.3,Masters,12,879,330,Yes
7,64.1,Bachelors,6,597,322,Yes
14,97.8,Masters,13,693,415,Yes
3,78.0,Masters,8,371,187,No
12,91.8,Masters,17,623,477,Yes
10,92.3,Bachelors,8,658,286,Yes
11,78.9,Masters,20,750,535,Yes
4,86.4,Bachelors,6,351,209,No
6,74.8,Bachelors,12,393,402,Yes
7,82.5,Bachelors,14,533,453,Yes
4,74.7,Masters,11,497,173,Yes
8,80.9,Bachelors,8,564,360,Yes
13,68.5,Bachelors,15,658,454,Yes
9,56.9,High School,3,580,182,Yes
11,75.1,Masters,18,696,550,Yes
3,75.0,Masters,15,320,425,Yes
3,58.4,Masters,7,517,122,Yes
12,77.1,Bachelors,12,822,425,Yes
7,77.9,PhD,7,477,301,Yes
0,82.5,Masters,15,150,293,Yes
7,84.3,Masters,10,619,315,Yes
4,47.3,Masters,7,374,166,No
12,91.4,PhD,15,869,458,Yes
13,82.7,Masters,10,849,399,Yes
10,74.1,Bachelors,11,426,397,Yes
0,57.5,Bachelors,4,335,30,No
3,84.1,Masters,7,462,190,Yes
1,51.0,Masters,6,299,146,No
3,70.3,Masters,7,538,172,Yes
7,75.9,Bachelors,9,319,129,Yes
4,62.2,Bachelors,5,402,196,No
0,51.7,Masters,4,330,80,No
6,61.9,Masters,17,766,409,Yes
0,54.9,Masters,2,344,0,No
8,84.6,Bachelors,12,486,355,Yes
2,56.1,Bachelors,3,531,33,No
11,73.5,High School,3,509,291,No
2,39.6,High School,4,299,48,No
14,78.4,Bachelors,11,828,326,Yes
14,92.7,Masters,19,820,615,Yes
5,50.0,PhD,14,372,325,Yes
15,100.0,Bachelors,14,900,437,Yes
9,70.4,Masters,10,623,344,Yes
5,97.7,Masters,10,752,293,Yes
12,95.3,PhD,11,765,437,Yes
10,57.5,PhD,15,660,412,Yes
10,77.2,High School,9,834,262,Yes
5,62.7,Bachelors,8,492,295,No
12,81.3,High School,10,679,366,Yes
0,85.5,Masters,6,208,132,No
4,79.8,Masters,10,507,215,No
11,76.1,Bachelors,13,817,449,Yes
5,50.3,Masters,13,299,276,No
7,84.6,Bachelors,7,530,243,Yes
12,96.6,PhD,11,590,361,Yes
0,70.4,High School,4,451,92,No
4,63.4,Bachelors,6,582,109,No
2,65.9,Bachelors,9,463,240,No
1,51.3,High School,9,150,45,No
10,82.6,Masters,10,480,286,Yes
7,44.3,High School,8,443,262,Yes
6,78.0,Masters,8,405,254,Yes
9,76.7,High School,14,544,401,Yes
6,61.9,Bachelors,11,583,254,Yes
4,78.3,Masters,2,500,146,No
11,100.0,PhD,16,555,410,Yes
15,100.0,Bachelors,9,729,409,Yes
12,73.7,PhD,10,786,306,Yes
8,87.3,Masters,9,562,266,Yes
4,85.6,Bachelors,8,443,258,Yes
1,58.0,Masters,4,477,1,No
2,82.4,Bachelors,4,269,121,No
3,52.6,Bachelors,11,586,213,Yes
14,90.3,Masters,18,808,530,Yes
4,39.6,Bachelors,6,513,72,No
12,53.5,Bachelors,8,557,294,Yes
2,33.7,High School,6,490,239,No
11,100.0,Masters,12,724,439,Yes
13,75.6,Masters,18,657,597,Yes
6,57.9,Bachelors,10,475,338,Yes
4,75.4,Masters,9,366,348,Yes
4,54.3,Bachelors,10,313,220,No
5,89.3,Masters,7,340,159,Yes
6,100.0,PhD,10,346,147,Yes
9,45.9,Masters,17,560,443,Yes
9,83.3,Bachelors,13,627,352,Yes
15,60.3,Masters,17,819,517,Yes
7,51.1,Bachelors,9,653,371,Yes
8,84.4,Masters,15,381,264,Yes
10,63.3,Bachelors,14,744,297,Yes
3,67.4,Bachelors,4,589,169,No
4,66.0,Bachelors,7,510,75,No
14,56.3,High School,13,877,416,No
4,79.1,Masters,12,331,324,Yes
7,79.7,Masters,10,595,231,Yes
8,69.6,High School,7,736,345,Yes
6,59.8,Bachelors,7,732,207,Yes
14,91.3,Bachelors,12,828,482,Yes
4,49.8,Masters,9,460,192,No
2,46.4,Bachelors,7,397,161,No
0,57.8,High School,5,321,137,No
10,93.0,Bachelors,8,643,423,Yes
8,70.1,Masters,4,617,111,Yes
4,67.9,High School,4,472,205,No
8,76.6,Bachelors,18,547,426,Yes
9,85.5,Masters,13,627,425,Yes
14,75.1,Bachelors,14,683,546,Yes
11,77.3,Bachelors,12,760,461,Yes
12,80.9,Bachelors,14,628,462,Yes
13,100.0,PhD,16,588,507,Yes
3,46.9,Bachelors,8,309,113,No
4,44.4,Bachelors,9,540,192,Yes
3,100.0,Bachelors,10,291,197,Yes
1,67.9,Masters,4,392,142,No
11,83.2,High School,11,815,458,Yes
0,70.9,Masters,5,348,105,No
7,86.8,Masters,8,713,245,Yes
3,84.5,PhD,11,424,279,Yes
4,80.9,Masters,11,230,302,No
5,84.4,Bachelors,8,458,269,Yes
13,86.0,Bachelors,17,809,440,Yes
7,87.6,Bachelors,10,702,215,Yes
10,100.0,Masters,10,660,317,Yes
7,78.2,Masters,6,602,240,No
6,80.5,Masters,8,706,276,Yes
3,54.8,Bachelors,5,503,127,No
5,68.8,Masters,10,277,255,Yes
15,100.0,PhD,25,638,671,Yes
3,65.2,PhD,10,431,182,Yes
14,90.6,Masters,19,788,687,Yes
13,92.4,Masters,16,900,578,Yes
6,92.3,Bachelors,8,689,265,Yes
11,66.5,Bachelors,8,599,223,Yes
12,87.8,Bachelors,14,727,383,Yes
11,70.4,Bachelors,10,654,414,Yes
15,99.0,Bachelors,12,900,453,Yes
14,100.0,Masters,15,590,479,Yes
12,100.0,Masters,17,731,422,Yes
12,75.1,Bachelors,18,618,505,Yes
10,75.2,High School,11,555,357,Yes
13,91.1,High School,19,886,589,Yes
0,67.4,Bachelors,13,188,284,No
4,28.2,Bachelors,5,398,127,No
14,82.7,PhD,9,814,441,Yes
13,92.1,Bachelors,14,880,467,Yes
9,72.4,Bachelors,9,770,302,Yes
11,87.2,High School,11,861,430,Yes
15,100.0,Masters,14,881,486,Yes
14,86.0,Masters,14,662,404,Yes
9,84.5,Bachelors,12,763,398,Yes
14,100.0,PhD,17,761,547,Yes
3,82.5,Masters,9,706,289,Yes
10,65.9,Bachelors,14,751,352,Yes
6,66.7,Bachelors,10,580,269,Yes
12,81.9,Bachelors,17,711,491,Yes
8,59.5,Bachelors,22,464,624,Yes
4,85.3,Masters,7,434,214,Yes
3,53.8,Bachelors,8,601,193,Yes
14,84.0,Bachelors,12,767,421,Yes
8,89.6,Bachelors,10,560,266,Yes
4,58.7,Bachelors,3,380,159,No
8,72.2,Masters,8,689,314,Yes
7,76.6,Bachelors,5,662,232,Yes
3,57.4,Bachelors,5,417,224,No
10,100.0,Masters,12,798,454,Yes
10,63.8,Bachelors,14,682,374,Yes
6,30.6,High School,7,249,269,No
4,78.1,Bachelors,9,652,270,No
9,70.1,Bachelors,10,725,340,Yes
3,51.4,Bachelors,8,304,166,No
4,71.3,Bachelors,8,373,209,No
4,67.3,High School,7,664,310,No
10,69.8,Masters,11,432,357,Yes
14,98.8,High School,15,796,517,Yes
8,93.9,PhD,13,513,411,Yes
11,100.0,Bachelors,15,851,518,Yes
15,84.4,Masters,8,549,430,Yes
8,79.6,Masters,13,585,424,Yes
5,71.0,Bachelors,7,568,180,No
13,82.3,Masters,20,660,647,Yes
3,73.3,Masters,6,375,248,Yes
14,92.7,Bachelors,12,900,364,Yes
1,74.2,PhD,10,411,188,Yes
13,74.1,High School,13,871,374,No
2,58.4,Bachelors,10,331,224,Yes
1,54.7,Masters,8,469,0,No
4,54.2,Bachelors,2,476,100,No
5,70.3,Masters,4,594,57,No
10,100.0,Masters,13,448,446,Yes
4,100.0,PhD,7,297,150,Yes
1,79.2,Bachelors,6,373,122,No
11,80.0,PhD,17,782,457,Yes
4,71.6,Bachelors,5,470,172,No
8,42.8,Bachelors,9,519,298,Yes
3,61.2,Bachelors,6,417,273,No
11,77.4,Masters,16,756,502,Yes
9,100.0,Bachelors,9,563,271,Yes
1,67.2,Masters,7,553,180,No
2,62.3,Bachelors,9,172,179,No
2,60.5,Bachelors,6,387,214,No
8,76.6,PhD,11,613,281,Yes
3,71.5,Bachelors,10,331,262,No
15,77.6,Bachelors,23,735,668,Yes
14,97.5,Masters,15,864,490,Yes
0,79.0,Bachelors,3,168,119,No
0,62.9,Masters,8,307,173,No
14,76.3,High School,16,766,550,Yes
6,68.4,Bachelors,9,586,266,Yes
6,83.0,High School,9,536,222,Yes
1,57.1,High School,5,361,164,No
8,68.1,Masters,15,407,438,Yes
8,85.6,Bachelors,9,474,370,Yes
4,58.6,Masters,5,573,124,No
14,82.0,Bachelors,17,823,620,Yes
14,88.9,Bachelors,13,681,533,Yes
2,53.1,Masters,9,569,269,No
2,38.5,Masters,5,523,93,No
11,90.0,Masters,16,574,468,Yes
2,32.4,Masters,6,380,160,No
5,53.6,Bachelors,8,319,247,Yes
3,78.9,Masters,7,379,193,Yes
7,77.8,Bachelors,9,711,319,Yes
14,83.1,Bachelors,16,840,576,Yes
12,75.6,PhD,19,623,595,Yes
10,71.0,Bachelors,13,774,470,Yes
12,93.9,Masters,14,708,451,Yes
10,75.5,Bachelors,17,716,516,Yes
10,54.5,High School,8,573,312,Yes
4,52.3,Bachelors,9,265,292,No
0,54.7,Masters,8,227,80,No
8,79.0,Bachelors,16,368,407,Yes
0,59.1,Bachelors,4,466,90,No
5,52.6,Masters,5,683,65,No
0,73.2,High School,2,395,117,No
2,50.4,Bachelors,5,364,138,No
14,95.9,Masters,17,900,659,Yes
9,68.8,PhD,10,639,334,Yes
4,100.0,Bachelors,12,394,229,Yes
14,100.0,Masters,17,796,510,Yes
9,63.9,Bachelors,17,540,471,Yes
6,70.8,Bachelors,11,609,380,Yes
13,71.8,Masters,9,489,328,Yes
9,77.7,PhD,10,623,380,Yes
7,77.8,Bachelors,7,630,359,Yes
11,87.7,High School,11,706,297,Yes
8,50.4,High School,5,601,251,No
15,76.3,Bachelors,14,528,506,Yes
5,85.4,Masters,8,355,330,Yes
14,100.0,Bachelors,10,888,406,Yes
10,65.9,Bachelors,9,510,319,Yes
8,91.6,Masters,15,804,433,Yes
7,56.7,Masters,11,576,264,Yes
8,64.5,High School,9,748,319,No
9,62.1,Masters,14,510,436,Yes
3,64.9,PhD,11,246,308,Yes
8,100.0,Bachelors,13,568,319,Yes
14,88.4,Masters,9,660,369,Yes
6,69.0,Masters,12,628,311,Yes
4,52.5,High School,6,608,148,Yes
4,61.0,Bachelors,5,739,83,No
0,49.1,Masters,8,540,149,No
1,61.6,Bachelors,10,340,154,No
9,75.0,Bachelors,13,749,448,Yes
2,54.6,Bachelors,5,484,155,No
13,79.1,Masters,12,767,416,Yes
13,86.2,Bachelors,11,538,438,Yes
7,60.6,Bachelors,12,542,424,No
5,63.9,Bachelors,9,620,317,No
11,76.5,Masters,12,514,347,Yes
9,37.9,High School,7,659,390,Yes
10,90.4,Bachelors,17,524,553,Yes
12,54.0,Bachelors,7,795,318,No
14,59.0,Bachelors,14,666,438,Yes
13,96.9,Bachelors,13,757,551,Yes
4,52.6,Masters,13,635,250,Yes
12,54.1,Masters,18,764,580,Yes
0,81.3,Masters,7,518,217,No
11,69.9,Bachelors,9,594,339,Yes
10,91.2,High School,10,793,300,Yes
11,73.3,PhD,19,529,547,Yes
8,48.8,Bachelors,9,733,377,Yes
2,60.4,Masters,3,555,37,No
2,50.9,PhD,4,340,126,No
1,69.3,Masters,11,414,280,No
3,73.6,Bachelors,5,225,155,No
11,93.4,Bachelors,11,670,402,Yes
1,50.3,High School,4,505,69,No
15,100.0,Masters,18,782,622,Yes
12,71.3,Masters,14,838,404,Yes
8,79.3,Masters,5,642,333,Yes
11,72.9,High School,13,677,490,Yes
9,100.0,Masters,14,503,387,Yes
6,91.4,Masters,11,572,281,Yes
7,72.0,Bachelors,11,463,276,Yes
2,64.5,Bachelors,9,192,128,No
5,94.3,Masters,10,414,263,Yes
14,74.2,Bachelors,13,900,475,Yes
9,45.0,Bachelors,9,538,316,Yes
5,48.5,High School,2,462,126,No
12,79.0,Masters,14,900,500,Yes
0,77.9,Bachelors,1,391,157,No
5,83.0,Bachelors,11,711,419,Yes
15,90.6,Masters,10,760,500,Yes
12,92.2,Masters,11,823,395,Yes
13,76.6,Masters,9,708,318,Yes
2,92.8,Bachelors,8,478,197,No
10,99.4,Masters,15,817,397,Yes
15,92.1,Masters,19,756,664,Yes
2,67.9,PhD,5,258,176,No
2,72.0,Bachelors,11,536,265,No
9,74.6,Bachelors,12,562,396,Yes
10,45.7,High School,6,634,332,No
14,100.0,Masters,16,767,556,Yes
10,95.0,Bachelors,12,606,407,Yes
14,91.1,Bachelors,18,531,646,Yes
9,69.2,Bachelors,11,787,352,Yes
10,77.6,Bachelors,15,603,452,Yes
7,31.8,Bachelors,9,585,322,No
12,72.4,PhD,15,805,608,Yes
15,100.0,Masters,14,745,540,Yes
4,68.8,High School,3,294,192,No
3,34.3,Bachelors,6,426,319,No
12,64.6,High School,10,640,438,Yes
8,48.4,Masters,11,374,438,No
8,61.8,Bachelors,20,716,440,Yes
0,62.5,PhD,2,175,20,No
1,87.3,Masters,8,317,184,No
7,83.3,Bachelors,11,612,421,Yes
4,64.7,Masters,8,223,209,No
15,87.5,Masters,9,672,398,Yes
6,57.5,Bachelors,12,372,401,Yes
0,73.9,Bachelors,2,444,117,No
11,100.0,Masters,17,768,455,Yes
9,55.4,Bachelors,18,735,514,Yes
11,53.7,Bachelors,12,613,400,Yes
4,60.7,Bachelors,8,463,146,Yes
10,74.6,Bachelors,13,766,471,Yes
11,78.9,High School,14,611,550,Yes
2,43.9,PhD,5,578,155,No
9,68.5,Masters,12,547,400,Yes
11,82.0,Masters,14,805,529,Yes
11,71.6,Masters,17,839,425,Yes
13,100.0,Masters,10,860,382,Yes
1,95.0,PhD,7,477,141,No
1,51.4,Bachelors,6,519,221,No
8,90.6,Masters,13,640,440,Yes
12,76.1,Bachelors,20,559,555,Yes
3,53.3,Masters,12,344,303,Yes
15,80.6,Masters,12,713,412,Yes
3,82.5,PhD,10,404,174,Yes
6,55.4,High School,6,438,156,No
9,68.8,Bachelors,10,766,307,Yes
15,70.3,Bachelors,15,586,501,Yes
9,85.0,Bachelors,11,524,278,Yes
12,88.4,Bachelors,18,544,530,Yes
1,81.3,Bachelors,5,203,211,No
2,74.2,Masters,7,439,115,No
2,67.7,Bachelors,4,267,174,No
5,80.0,Masters,9,515,242,No
2,57.7,Bachelors,5,539,219,No
10,79.2,Bachelors,19,625,474,Yes
4,83.2,Masters,20,553,496,Yes
3,54.9,Masters,12,494,244,Yes
2,82.5,High School,3,452,131,No
7,84.8,Masters,12,775,376,Yes
13,100.0,Masters,19,656,560,Yes
9,61.6,Masters,11,487,338,Yes
2,47.6,Masters,4,625,183,No
5,73.1,Bachelors,7,448,338,Yes
12,90.9,PhD,16,682,555,Yes
14,82.4,Masters,14,772,521,Yes
6,58.0,PhD,14,726,393,Yes
6,69.2,Masters,4,507,180,Yes
1,66.5,Masters,12,157,141,No
13,63.9,Bachelors,16,712,527,Yes
2,55.3,Bachelors,6,571,250,No
11,92.7,PhD,14,642,378,Yes
9,91.1,Masters,13,724,357,Yes
9,71.2,Bachelors,19,784,523,Yes
14,73.5,Bachelors,11,629,444,Yes
3,69.0,Masters,5,363,60,Yes
6,66.4,Bachelors,12,502,402,Yes
1,33.0,High School,5,348,88,No
2,54.7,Bachelors,6,489,123,No
6,64.4,Masters,6,479,156,Yes
6,69.8,Bachelors,7,441,183,No
15,76.5,Bachelors,14,766,510,Yes
14,81.0,Masters,10,609,381,Yes
9,76.5,Masters,15,502,461,Yes
2,71.1,Bachelors,4,510,23,No
11,76.4,High School,16,642,483,Yes
0,100.0,Masters,3,457,61,Yes
11,64.3,Masters,10,636,362,Yes
2,75.2,Bachelors,4,508,28,No
4,64.3,Bachelors,7,596,213,No
6,52.3,Masters,11,496,160,Yes
3,65.3,PhD,15,656,323,No
12,58.8,Bachelors,13,790,478,Yes
12,78.2,High School,15,733,467,Yes
10,72.9,Bachelors,12,654,360,Yes
10,67.2,Bachelors,16,651,509,Yes
15,71.6,Bachelors,18,819,537,Yes
14,100.0,Bachelors,12,703,499,Yes
0,58.9,Masters,7,150,155,No
5,70.6,Bachelors,11,604,231,Yes
1,65.9,Masters,12,422,189,Yes
11,84.9,Masters,16,741,491,Yes
2,60.4,Masters,10,405,341,No
3,93.8,PhD,11,237,319,Yes
5,100.0,Masters,8,435,280,Yes
5,96.7,PhD,17,654,410,Yes
6,69.8,Bachelors,13,387,345,Yes
4,64.8,Bachelors,10,729,232,No
6,85.9,Bachelors,10,317,338,Yes
1,48.1,Bachelors,7,467,133,No
0,83.2,Bachelors,4,366,159,No
11,95.1,Masters,13,693,387,Yes
9,66.8,High School,5,624,344,Yes
7,79.5,Masters,8,531,226,Yes
0,66.9,Bachelors,10,457,176,No
11,76.8,Masters,17,561,541,Yes
1,75.0,Bachelors,6,435,196,No
10,100.0,PhD,15,582,525,Yes
11,75.6,Bachelors,15,723,396,Yes
9,75.9,PhD,12,562,337,Yes
5,61.4,High School,8,567,274,No
0,43.9,Masters,7,212,108,No
9,50.5,Bachelors,9,586,355,Yes
2,58.8,Masters,4,396,127,No
6,58.9,Masters,6,838,298,No
11,100.0,Masters,17,733,591,Yes
7,60.2,High School,7,546,330,No
3,74.1,Masters,10,495,249,Yes
11,70.1,Bachelors,12,606,395,Yes
2,83.7,High School,5,554,125,No
0,54.6,Bachelors,5,404,32,No
11,60.8,Bachelors,14,773,424,Yes
8,87.3,Masters,12,617,401,Yes
9,79.4,Bachelors,14,690,385,Yes
5,85.5,Bachelors,8,544,231,Yes
15,88.9,Masters,20,763,524,Yes
5,76.6,PhD,11,718,357,Yes
8,54.6,Masters,14,560,446,Yes
0,73.8,Masters,6,420,230,Yes
5,72.2,Masters,8,450,289,Yes
11,81.4,Masters,13,629,469,Yes
4,69.6,PhD,5,333,162,Yes
12,77.3,Bachelors,14,774,363,Yes
10,90.2,Bachelors,14,493,312,Yes
15,77.4,Masters,25,750,832,Yes
14,100.0,PhD,11,647,463,Yes
5,43.4,Bachelors,9,697,246,No
13,58.5,Masters,17,790,452,Yes
10,100.0,Masters,15,821,487,Yes
7,56.2,Bachelors,6,602,277,No
4,67.1,Bachelors,3,460,177,No
1,59.2,Masters,12,547,307,Yes
11,84.7,Bachelors,11,754,456,Yes
11,80.3,Bachelors,10,736,350,Yes
1,82.6,PhD,8,269,141,Yes
9,57.8,Masters,22,707,592,Yes
15,100.0,Masters,23,755,640,Yes
4,68.5,Masters,4,293,156,No
2,42.3,Masters,9,567,120,No
9,71.3,Masters,11,487,350,Yes
2,37.4,Bachelors,6,349,196,No
7,50.2,Masters,12,539,426,Yes
6,66.7,Masters,6,306,225,Yes
0,79.0,Masters,8,328,191,No
11,84.2,Bachelors,11,819,388,Yes
12,100.0,Bachelors,8,735,391,Yes
11,80.6,Bachelors,10,728,362,Yes
4,92.5,Masters,10,176,301,Yes
15,100.0,PhD,18,726,526,Yes
8,66.8,PhD,11,386,278,Yes
3,64.6,Bachelors,8,150,219,No
0,46.7,Bachelors,6,382,147,No
7,64.8,High School,7,566,196,No
4,90.4,Bachelors,11,440,298,Yes
1,53.6,Masters,8,191,123,No
14,75.2,PhD,16,735,509,Yes
11,62.7,Bachelors,9,588,386,Yes
0,51.6,Bachelors,3,347,74,No
13,100.0,Bachelors,17,756,440,Yes
11,100.0,Bachelors,15,626,539,Yes
11,40.2,Masters,17,768,486,Yes
11,82.7,Masters,15,691,364,Yes
2,55.8,Masters,5,536,158,No
8,92.0,Masters,15,363,438,Yes
0,39.8,Bachelors,2,281,0,No
3,48.0,Bachelors,5,602,139,No
7,58.4,High School,8,484,345,Yes
7,64.9,Masters,15,594,440,Yes
9,89.0,Masters,9,748,423,Yes
11,78.2,Masters,13,756,450,Yes
10,88.0,High School,8,695,323,Yes
12,73.1,Masters,8,820,424,Yes
10,86.0,High School,7,560,244,Yes
7,54.1,Bachelors,7,339,235,No
9,84.7,Bachelors,18,627,541,Yes
15,80.0,Bachelors,18,746,593,Yes
7,88.6,Masters,7,556,303,Yes
15,54.6,Masters,16,704,549,Yes
3,51.8,Bachelors,9,680,274,No
7,89.0,Bachelors,9,350,237,Yes
8,70.5,Bachelors,8,534,274,Yes
6,44.0,Bachelors,15,348,349,Yes
13,72.9,Bachelors,11,900,387,Yes
11,89.0,Masters,15,614,354,Yes
1,47.3,Bachelors,3,579,47,No
8,94.7,Masters,11,769,375,Yes
10,93.8,Bachelors,11,626,300,Yes
7,81.5,Bachelors,8,681,181,No
12,97.0,Bachelors,11,800,354,Yes
4,61.5,Masters,9,561,152,Yes
14,100.0,Bachelors,11,743,511,Yes
11,91.1,High School,11,704,358,Yes
